archetype_key,archetype_label_ja,catalog_rg_low_in,catalog_total_diff_in,catalog_intermediate_diff_in,drill_angle_deg,pin_pap_in,val_angle_deg,pap_rg_in,rg_low_in,rg_mid_in,rg_high_in,total_diff_in,int_diff_in,performance_diff_in,effective_flare_diff_in,flare_utilization_pct,removed_mass_oz
symmetric_low,対称・低RG差,2.52,0.03,0,90,4,20,2.5277233422167793,2.5142374770649782,2.5384348309980718,2.550508852018672,0.03627137495369359,0.012074021020600068,0.03822819149053906,0.025945561176057813,67.87022918015614,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,4,40,2.5277239282010466,2.5175258322744107,2.5381786293254613,2.5475183257960143,0.029992493521603603,0.009339696470552994,0.03141304820939054,0.02141029735516072,68.1573377166256,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,4,70,2.527724435060208,2.521307612989883,2.5380850819767886,2.5438687901506034,0.02256117716072037,0.005783708173814794,0.023290727663970966,0.016411750010066225,70.46473706982539,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,5,20,2.533786801355212,2.515643404114587,2.5365390098764937,2.551008577698139,0.03536517358355207,0.014469567821645324,0.038210782451291975,0.019976873618366236,52.280723756000405,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,5,40,2.5337863600627304,2.519250333097327,2.536078110167673,2.5479054710611093,0.028655137963782273,0.011827360893436278,0.031000054797160954,0.015362753015538745,49.557180192293394,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,5,70,2.5337866375082756,2.5235979205969263,2.5357217379580863,2.543954691772529,0.020356771175602528,0.008232953814442556,0.02195858969074713,0.009624220374395335,43.82895490984456,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,6,20,2.537626657736492,2.5158330348483533,2.5357097419503494,2.5516459192157233,0.03581288436736996,0.015936177265373885,0.03919852589758996,0.012641190174459608,32.24914683650598,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,6,40,2.5376264397273216,2.518741411412762,2.5358710670645714,2.548614572978132,0.029873161565370232,0.012743505913560771,0.03247772659654108,0.009118743053587812,28.076913039100987,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,90,6,70,2.537627029174513,2.5217876923830027,2.5373423373975443,2.544133824782686,0.022346132399683416,0.006791487385141792,0.023355383407829576,0.003968369389104283,16.991240605255665,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,1,20,2.470491726516589,2.468295277831513,2.528339899042345,2.5355518642139687,0.06725658638245591,0.007211965171623813,0.06764215293334082,0.022415683220044877,33.13863064372717,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,1,40,2.470492199079617,2.469119732551144,2.5284446128691904,2.5346445842460037,0.06552485169485989,0.006199971376813274,0.06581751920808537,0.017764498231190664,26.99053146477204,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,1,70,2.4704921981515784,2.469880985313828,2.5284943093739627,2.5338531764122565,0.06397219109842833,0.005358867038293802,0.06419625136928125,0.012289627914255115,19.143840414544613,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,2,20,2.4788361708657676,2.4703148245220055,2.5271917427416306,2.5347295861781576,0.06441476165615212,0.00753784343652697,0.06485430288648918,0.04041831665525543,62.321719386911504,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,2,40,2.4788355753511007,2.472120534544534,2.52754393799748,2.532617094787954,0.060496560243420205,0.005073156790474265,0.06070890149810409,0.03605277827870862,59.386313026656445,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,2,70,2.478835493825145,2.4738534973081463,2.5285090407178954,2.5299601645706282,0.056106667262481924,0.0014511238527328274,0.056125429813399484,0.03172174406420978,56.519378416655755,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,3,20,2.490707269230618,2.4725331633627965,2.525130562352576,2.5346208346739,0.0620876713111036,0.009490272321324156,0.06280879076664769,0.050200088287146914,79.9252583506254,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,3,40,2.490706905419813,2.475326786300029,2.525201473901027,2.531821960695027,0.05649517439499796,0.006620486794000069,0.05688176839120566,0.04593887195884315,80.76203194474812,2.4119385087480647
