drill_angle_deg,pin_pap_in,val_angle_deg,angle_sum_deg,source_timing_guide_pct,mass_after_lb,removed_mass_oz,com_shift_in,pap_rg_in,pap_inertia_lb_in2,rg_low_in,rg_mid_in,rg_high_in,total_diff_in,int_diff_in,performance_diff_in,effective_flare_diff_in,flare_utilization_pct,pap_to_pin_deg,pap_to_psa_deg
10,5,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.030817185088760878,2.511600306009729,93.67111418402654,2.477075014361913,2.5086169177661755,2.5223970884045355,0.04532207404262234,0.013780170638360012,0.04737070295390666,0.03412771663643381,72.04393118177128,66.66175626885669,25.27983393947039
10,5,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030812255042557357,2.511599272642186,93.67103710435029,2.4789579426822854,2.508015290472762,2.521145368143143,0.04218742546085741,0.013130077670380658,0.04418345625509201,0.03183935999831868,72.06172331674323,66.66175626885669,25.27983393947039
10,5,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.030813989143199695,2.5115999764256283,93.67108960009264,2.480759851142249,2.507293540035775,2.5200905931068682,0.039330741964619165,0.012797053071093245,0.04136026874661034,0.0297031342610513,71.81562199952002,66.66175626885669,25.27983393947039
10,5,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.030815292904017588,2.511600192986787,93.67110575355719,2.482278653363576,2.5066227346545613,2.5192621786703504,0.03698352530677429,0.012639444015789092,0.0390837138607001,0.027823620393854127,71.18980681575312,66.66175626885669,25.27983393947039
10,5,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.030813040558476553,2.5115996454398273,93.67106491160811,2.48326282866177,2.5062664473727083,2.518646713591966,0.03538388493019573,0.012380266219257585,0.037487201874946904,0.026322420991560454,70.2170865656207,66.66175626885669,25.27983393947039
10,5.5,20,30,100,14.849253843203247,2.4119385087480647,0.030813240878285467,2.5154668119731967,93.95974187794674,2.4755241941543527,2.508118109415833,2.524414890229803,0.04889069607545027,0.016296780813970013,0.05153528138703261,0.02888825598003725,56.0552988215684,73.32793189574235,19.367854314791366
10,5.5,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.030816879817375478,2.5154682431952837,93.95984879829687,2.4772261851970114,2.5077135183093073,2.523146827587263,0.0459206423902514,0.015433309277955498,0.048444735862654686,0.026562206892216313,54.82991375476301,73.32793189574235,19.367854314791366
10,5.5,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.03081552074986656,2.5154675193358473,93.95979472191283,2.479017043289452,2.507192319034979,2.52190561244434,0.042888569154888145,0.014713293409360784,0.04534214779985133,0.024214604965030966,53.404186038823596,73.32793189574235,19.367854314791366
10,5.5,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.030813628453165823,2.5154669468143447,93.9597519513373,2.480724807043826,2.506635855434678,2.5207792638058844,0.04005445676205843,0.014143408371206423,0.04247817683067766,0.021930825422782702,51.62845267630296,73.32793189574235,19.367854314791366
10,5.5,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.03081493785102257,2.5154677278998574,93.95981030281953,2.4821327414949392,2.5062034054411093,2.5198230810175315,0.037690339522592264,0.013619675576422186,0.04007564417617353,0.01981390548323421,49.44126511387263,73.32793189574235,19.367854314791366
10,5.5,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.030812624005967324,2.515466560387952,93.95972308311839,2.483000329752011,2.5061195425299414,2.5190516671296486,0.03605133737763744,0.012932124599707162,0.03830063672288738,0.01799529420915212,46.98432127735004,73.32793189574235,19.367854314791366
10,6,20,30,100,14.849253843203247,2.4119385087480647,0.03081312466853484,2.5181638881026185,94.16133661336016,2.475451174816416,2.507417918391522,2.5251819543528895,0.049730779536473424,0.01776403596136733,0.05280825131494202,0.021662786413828947,41.02159392598462,79.99410752262803,14.110179469737337
10,6,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.03081647564079788,2.5181652485489727,94.1614383553336,2.476975696810121,2.5070236781276107,2.5240781090611457,0.04710241225102463,0.01705443093353498,0.05009481863758157,0.019571598738411345,39.06910788519865,79.99410752262803,14.110179469737337
10,6,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030815204984148165,2.5181644219290487,94.16137653595275,2.4785819663941844,2.506583297615281,2.522938443666278,0.044356477272093464,0.01635514605099697,0.047275658412540236,0.017355949221599432,36.71223163122701,79.99410752262803,14.110179469737337
10,6,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.030816937798820367,2.5181648447701086,94.16140815843083,2.4800941187573176,2.5061843792198157,2.5218484467575295,0.04175432800021195,0.015664067537713766,0.04459581727668349,0.015057858333720829,33.765180802267054,79.99410752262803,14.110179469737337
